1,9.35808E-08,1.43856E-07,1.0328E-07,2.10657E-07,8.96864E-08,6.35733E-08,4.5843E-08,9.09767E-08,7.3566E-08,2.85489E-08,1.41041E-07,7.70575E-08,1.14512E-07,2.27706E-08,8.09572E-08,2.10157E-07,1.31734E-07,4.83478E-08,8.35477E-08,2.9643E-07,6.86491E-07,1.40086E-07,1.57334E-07,2.30606E-07,3.38619E-07,5.60987E-07,4.09353E-07,4.35643E-07,2.01507E-07,1.10747E-06,8.18598E-07
41,0.003273238,0.003960084,0.00367537,0.005370132,0.003895543,0.003547268,0.003312787,0.004671977,0.004406307,0.003068804,0.006531264,0.005228582,0.006633338,0.003429867,0.006210901,0.009440185,0.007961509,0.005625958,0.00734135,0.012874666,0.018199819,0.01020489,0.011282033,0.013531227,0.016580934,0.020250635,0.018921957,0.019948111,0.015218722,0.029314024,0.027345757
42,0.003502814,0.004231174,0.00393354,0.005734644,0.004174533,0.00380753,0.003561834,0.005011876,0.004731631,0.003308036,0.007001313,0.005618993,0.007121009,0.003705286,0.006679737,0.010116625,0.008548784,0.006067091,0.007902138,0.013792648,0.019432329,0.010970024,0.012126241,0.014523827,0.017774709,0.021663514,0.020275181,0.021372697,0.016360728,0.031287935,0.02923241
43,0.003742488,0.004513742,0.004203087,0.006114367,0.004466185,0.004080046,0.003823043,0.005367561,0.005072405,0.003559592,0.007492803,0.006028245,0.007631649,0.003995511,0.007171549,0.010823639,0.009163825,0.006531092,0.008490865,0.014751681,0.020715486,0.01177215,0.013011105,0.015562738,0.01902248,0.023137091,0.021688862,0.02286073,0.017557768,0.033341377,0.031198181
44,0.00399245,0.004807986,0.004484227,0.006509553,0.004770753,0.004365083,0.004096698,0.005739364,0.005428969,0.003823794,0.008006163,0.006456766,0.008165749,0.004300957,0.007686871,0.011561813,0.009807225,0.007018556,0.009108199,0.015752518,0.022050009,0.012612086,0.013937511,0.016648889,0.020325237,0.024672318,0.023164058,0.024413302,0.018811014,0.035475303,0.033244162
45,0.004252889,0.005114099,0.004777172,0.006920446,0.00508849,0.004662906,0.004383085,0.006127615,0.005801663,0.004100962,0.008541819,0.006904982,0.008723797,0.004622042,0.008226234,0.012331729,0.010479575,0.007530078,0.009754804,0.016795899,0.023436597,0.013490643,0.014906334,0.017783196,0.02168395,0.026270125,0.024701803,0.026031482,0.020121623,0.037690625,0.035371404
46,0.004523991,0.005432276,0.005082133,0.007347291,0.005419646,0.004973779,0.004682487,0.00653264,0.006190824,0.004391418,0.009100189,0.007373315,0.009306276,0.004959186,0.008790168,0.01313396,0.011181457,0.008066252,0.010431341,0.017882553,0.024875933,0.014408624,0.015918444,0.018966565,0.023099571,0.027931414,0.026303108,0.027716311,0.021490735,0.039988213,0.037580916
47,0.004805943,0.005762707,0.00539932,0.007790329,0.005764472,0.005297965,0.004995188,0.006954766,0.006596787,0.004695484,0.009681694,0.007862186,0.009913667,0.005312808,0.009379199,0.013969073,0.011913452,0.00862767,0.011138468,0.019013197,0.02636868,0.015366825,0.016974699,0.020199885,0.024573036,0.029657065,0.02796896,0.029468805,0.022919473,0.042368894,0.039873667
48,0.005098929,0.006105583,0.005728941,0.008249797,0.006123214,0.005635726,0.005321468,0.007394315,0.007019886,0.00501348,0.010286745,0.008372015,0.010546448,0.005683328,0.009993852,0.014837628,0.012676134,0.009214923,0.011876838,0.020188537,0.027915481,0.016366034,0.018075949,0.021484032,0.026105257,0.031447931,0.029700323,0.031289953,0.024408942,0.044833452,0.042250583
49,0.005403132,0.00646109,0.006071203,0.008725932,0.006496118,0.005987322,0.005661611,0.007851609,0.007460454,0.005345727,0.010915752,0.008903218,0.01120509,0.006071165,0.010634646,0.015740178,0.013470071,0.009828601,0.0126471,0.021409265,0.029516962,0.017407029,0.01922303,0.022819869,0.027697128,0.033304837,0.031498133,0.033180716,0.025960227,0.047382626,0.044712546
50,0.005718734,0.006829415,0.006426309,0.009218966,0.00688343,0.006353013,0.006015896,0.008326968,0.007918819,0.005692547,0.011569123,0.009456209,0.011890065,0.006476742,0.011302099,0.016677268,0.014295828,0.010469292,0.013449901,0.02267606,0.031173726,0.018490582,0.020416772,0.024208244,0.029349523,0.035228584,0.033363302,0.035142027,0.027574395,0.05001711,0.047260395
